psraid,cregion,fips,state,kidage,kidgen,age,educ,income,playgame,k17game,k28game
16291,3,24015,24,17,2,48,5,6,1,"DANCE DANCE REVOLUTION, GUITAR HERO, TETRIS",
16193,3,24003,24,13,1,48,5,7,1,"WORLD OF WARCRAFT, GOD OF WAR, LEGEND OF ZELDA FOR WII",SPANISH CLASS QUESTIONS
15968,3,24027,24,16,2,49,6,7,0,,
11181,3,24003,24,12,1,49,6,8,1,"FOOTBALL, MADDEN 08, HIDE AND GO SEEK TAG","SCHEFFERONS PYRAMID, AND ALL THE RIGHT TYPE"
16250,3,24027,24,13,1,43,5,8,1,"MADDEN 07, PRINCE OF PERISA, LEGEND OF ZEDLA",
10920,3,24025,24,15,2,48,7,2,1,GAMES I HAVE PLAYED IN THE PAST LIKE GAMES ON MY CELL PHONE,
13301,1,42003,42,12,1,45,6,9,1,GUITAR HERO,
16244,1,42003,42,14,1,35,5,4,1,"MADDEN 08, NEED FOR SPEED, TOMB RAIDER",
10006,1,42003,42,12,1,38,5,4,1,"MARIO GAME, ACTION GAMES, AND CORAL GAME, RACING GAMES, ALL OF THE MARIO GAMES",
9786,1,42003,42,15,1,40,6,6,1,"KINGDOM HEARTS, TONY HAWK, MADDEN",ORGAN TRAIL
9384,1,25003,25,12,1,47,3,6,1,DOOM 3,
16032,1,25003,25,15,2,49,6,7,1,"BLOONS, ADDICTINGGAMES.COM",
16302,1,25003,25,17,2,59,6,6,1,"BURNOUT, GRAND THEFT AUTO, DANCE DANCE REVOLUTION",
3724,1,25013,25,17,1,48,3,1,1,"GUITAR HERO, SOLITAIRE, MARIO KART",
13104,2,55079,55,13,2,29,3,4,1,"TAKEN 4, BURNOUT 3, FANTASTIC 4",MATH GAME
10474,2,55133,55,16,1,48,4,5,1,"GEARS OF WAR, OBLIVION, BIOSHOCK",
13119,2,55079,55,17,1,47,6,4,1,"PRINCE OF PERSIA, SPORTS GAMES, NBA LIVE",
14080,2,55079,55,17,1,58,5,8,1,"GEARS OF WAR, MAPLE STORY, CALL OF DUTY",
9894,2,55079,55,15,2,38,5,3,1,"DANCE DANCE REVOLUTION, RUNESCAPE, GUITAR HERO",
2550,4,6041,6,16,1,56,2,8,1,"SUPERMARIO GALAXY, ZELDA, RESIDENT EVIL 4","WORD GAME TO HELP UNDERSTAND A CERTAIN TOPIC, SPANISH.  A VERSION OF BATTLESHIP"
16012,4,6075,6,13,2,43,2,1,1,"GRAND THEFT AUTO: SAN ANDREA, MARIO PARTY","I DON'T KNOW WHAT IT WAS CALLED, IT WAS RELATED TO SOCIAL STUDIES"
1031,2,29153,29,17,2,53,6,6,1,"BEJEWELED, TETRIS",
2619,2,29097,29,16,2,45,5,6,1,"BOGGLE, SCATTERGORIES, SCRABBLE",BOGGLE
7878,2,29043,29,16,1,35,2,4,1,"GUITAR HERO, WORLD OF WARCRAFT",
9049,2,39107,39,17,2,50,4,9,1,GUITAR HERO,
16053,2,39011,39,16,1,40,3,7,1,"MADDEDN 07, GUITAR HERO II, ACE COMPABT IV SHATTERED SKIES",
6912,2,39095,39,13,1,43,5,5,1,"TINY COMBAT 2, ELECTRIC MAN, YAHOO POOL",SCARY FOR KIDS.COM.  SCARY MAZE
8073,2,39095,39,16,1,32,2,2,1,"POGO 21, DOMINOES, BLACKJACK",CHECKERS
4733,2,39139,39,12,1,43,3,3,1,WHATEVER LOOKS COOL,MATH MATCHING
6884,3,47179,47,15,1,46,6,7,1,ASSASSIN'S CREED,
18482,3,47163,47,15,1,56,1,2,1,MADDEN07 NEDD FOR SPEED UNDERGROUND 2 GOD OF WAR2,ORGAN TRIAL
17915,3,47163,47,12,1,46,5,7,1,"LEGEND OF ZELDA, SPYRO A NEW BEGINING, BRAIN AGE",
8762,3,47063,47,12,2,35,3,5,1,"HALO 3, GUITAR HERO, GRAND THEFT AUTO",
15983,4,53061,53,12,1,47,6,6,1,"POKEMON DIAMOND, THE SIMPSONS GAME, MARIO KART SUPER CIRCUIT",
14123,4,53033,53,15,1,31,5,8,1,"NEVER WINTER NIGHTS, OBEL VIN, EMPROIR EARTH",REN AND STIMPY
10210,4,53033,53,14,2,41,5,7,1,"PACMAN, BASE JUMPING, THIN ICE",
17524,4,53033,53,17,2,54,7,8,1,"ROCK STAR ROCK BAND, GUITAR HERO, THE SIMS",
